,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,PARLAMENTARIO MERCOSUR (DN),mesa,eleciones,circuito
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,70,70,1,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,6,1,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,1,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,121,121,1,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,8,1,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,59,54,1,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,9,1,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,1,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,1,1,1,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,1,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,271,271,1,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,66,61,2,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,6,3,2,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,2,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,139,138,2,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,12,2,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,69,57,2,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,20,2,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,2,2,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,2,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,2,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,294,294,2,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,101,99,3,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,4,3,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,3,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,111,106,3,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,10,3,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,73,60,3,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,23,3,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,3,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,3,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,3,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,303,303,3,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,100,97,4,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,12,12,4,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,0,0,4,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,119,113,4,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,11,4,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,47,45,4,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,13,4,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,4,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,1,0,4,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,4,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,292,292,4,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,70,71,5,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,6,5,5,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,5,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,132,130,5,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,15,17,5,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,58,47,5,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,15,5,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,2,5,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,5,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,5,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,288,288,5,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,66,63,6,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,9,8,6,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,2,6,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,139,129,6,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,10,6,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,64,58,6,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,23,6,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,0,6,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,6,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,6,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,293,293,6,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,72,72,7,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,3,7,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,7,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,126,123,7,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,13,7,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,57,47,7,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,15,7,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,1,7,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,7,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,7,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,276,276,7,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,65,62,8,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,5,8,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,3,8,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,133,132,8,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,8,8,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,49,40,8,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,17,8,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,5,5,8,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,8,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,8,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,272,272,8,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,68,66,9,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,9,10,9,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,4,4,9,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,147,141,9,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,8,9,9,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,51,42,9,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,22,9,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,4,3,9,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,1,1,9,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,9,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,298,298,9,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,72,72,10,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,11,13,10,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,10,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,141,137,10,ELECCIONES GENERALES 25/10/2015,638
