,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
0,501.0,,1PAIS,21.0,22.0,21.0,18,1,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,62.0,62.0,63.0,66,1,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,160.0,160.0,161.0,158,1,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,12.0,12.0,13,1,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,7.0,6.0,7,1,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,1,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,1,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,1,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,1,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,6.0,5.0,5.0,3,1,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,270.0,270.0,270.0,270,1,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,39.0,36.0,37.0,33,2,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,49.0,49.0,49.0,53,2,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,171.0,175.0,174.0,173,2,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,10.0,10.0,10,2,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,12.0,11,2,ELECCIONES GENERALES 22/10/2017,638
