,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
0,501.0,AZA.+ VALORES,9.0,,,1,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,7.0,,1,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,19.0,18.0,17.0,1,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,9.0,9.0,8.0,1,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,130.0,132.0,122.0,1,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,72.0,73.0,89.0,1,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,5.0,4.0,4.0,1,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,0.0,0.0,1,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,1,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,1,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,5.0,8.0,11.0,1,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,251.0,251.0,251.0,1,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,7.0,,,2,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,7.0,,2,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,21.0,20.0,18.0,2,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,14.0,14.0,12.0,2,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,137.0,136.0,130.0,2,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,73.0,74.0,91.0,2,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,13.0,13.0,10.0,2,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,2,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,2,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,2,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,9.0,10.0,13.0,2,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,274.0,274.0,274.0,2,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,2.0,,,3,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,2.0,,3,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,19.0,17.0,18.0,3,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,16.0,15.0,13.0,3,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,121.0,124.0,108.0,3,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,99.0,101.0,117.0,3,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,7.0,6.0,5.0,3,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,3,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,3,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,3,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,8.0,7.0,11.0,3,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,272.0,272.0,272.0,3,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,6.0,,,4,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,5.0,,4,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,15.0,13.0,13.0,4,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,19.0,19.0,17.0,4,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,127.0,125.0,115.0,4,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,96.0,96.0,114.0,4,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,10.0,10.0,7.0,4,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,4,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,4,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,4,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,5.0,10.0,12.0,4,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,278.0,278.0,278.0,4,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,1.0,,,5,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,1.0,,5,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,17.0,17.0,17.0,5,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,8.0,9.0,9.0,5,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,149.0,148.0,139.0,5,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,76.0,75.0,85.0,5,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,6.0,6.0,6.0,5,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,5,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,5,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,5,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,6.0,7.0,7.0,5,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,263.0,263.0,263.0,5,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,4.0,,,6,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,6,ELECCIONES GENERALES 14/11/2021,638
