,NRO,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
0,8,PARTIDO FEDERAL,,,,,1,ELECCIONES PASO 13/08/2017,638
1,0121,LISTA -A- ROJO PUNZO,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
2,,LISTA -B- CELESTE Y BLANCA,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
3,,LISTA -C- FEDERALISMO PURO,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
4,,LISTA -D- ALTERNATIVA,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
5,,TOTAL PARTIDO FEDERAL,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
6,22,PARTIDO HUMANISTA,,,,,1,ELECCIONES PASO 13/08/2017,638
7,,LISTA A NARANJA,2.0,2.0,,,1,ELECCIONES PASO 13/08/2017,638
8,,TOTAL PARTIDO HUMANISTA,2.0,2.0,,,1,ELECCIONES PASO 13/08/2017,638
9,259,PARTIDO DEL CAMPO POPULAR,,,,,1,ELECCIONES PASO 13/08/2017,638
10,,LISTA A-INDEPENDENCIA,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
11,,LISTA B-LIBERTAD,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
12,,LISTA C-SEGURIDAD,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
13,,TOTAL PARTIDO DEL CAMPO POPULAR,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
14,268,MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,,,,,1,ELECCIONES PASO 13/08/2017,638
15,,LISTA UNIDAD 1,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
16,,TOTAL MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
17,298,TODOS POR BUENOS AIRES,,,,,1,ELECCIONES PASO 13/08/2017,638
18,,LISTA TOBA,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
19,,TOTAL TODOS POR BUENOS AIRES,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
20,301,PATRIA GRANDE,,,,,1,ELECCIONES PASO 13/08/2017,638
