,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,351,1,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,77.21 %,1,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,351,2,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.76 %,2,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,3,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,86.82 %,3,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,351,4,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.19 %,4,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,5,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.52 %,5,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,6,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.71 %,6,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,7,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,79.08 %,7,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,8,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,77.71 %,8,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,9,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,85.39 %,9,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,10,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,84.29 %,10,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,11,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.29 %,11,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,12,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,81.14 %,12,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,13,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.14 %,13,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,14,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,86.29 %,14,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,15,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.67 %,15,ELECCIONES GENERALES 25/10/2015,638
2,Votos Comando Electoral:,2,15,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,16,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,81.71 %,16,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,17,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.95 %,17,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,18,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.29 %,18,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,352,19,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,79.83 %,19,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,348,20,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.47 %,20,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,21,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,85.43 %,21,ELECCIONES GENERALES 25/10/2015,638
