,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,351,1,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,77.78 %,1,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,351,2,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,84.33 %,2,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,3,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,84.53 %,3,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,351,4,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.19 %,4,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,5,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.95 %,5,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,6,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.43 %,6,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,7,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,79.37 %,7,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,8,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,77.14 %,8,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,9,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.66 %,9,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,10,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.43 %,10,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,11,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,84.00 %,11,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,12,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.29 %,12,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,13,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.57 %,13,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,14,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,86.29 %,14,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,15,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.09 %,15,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,16,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,80.86 %,16,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,17,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.52 %,17,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,18,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.57 %,18,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,352,19,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,80.68 %,19,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,348,20,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,84.48 %,20,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,21,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,84.86 %,21,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,22,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,86.57 %,22,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,23,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,85.43 %,23,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,24,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.43 %,24,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,351,25,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.48 %,25,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,26,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.95 %,26,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,27,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,85.39 %,27,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,348,28,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,84.77 %,28,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,29,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.57 %,29,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,30,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.09 %,30,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,31,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.38 %,31,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,32,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,78.86 %,32,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,33,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.14 %,33,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,34,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,79.71 %,34,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,35,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.67 %,35,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,36,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.14 %,36,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,347,37,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,85.88 %,37,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,348,38,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,78.45 %,38,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,39,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.81 %,39,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,40,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.43 %,40,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,41,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.14 %,41,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,42,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.00 %,42,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,43,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.52 %,43,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,348,44,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,85.34 %,44,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,45,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,79.37 %,45,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,348,46,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,78.45 %,46,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,47,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.81 %,47,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,48,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,86.00 %,48,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,49,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.00 %,49,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,50,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,84.86 %,50,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,51,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,79.71 %,51,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,52,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.09 %,52,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,53,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,80.52 %,53,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,351,54,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.91 %,54,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,55,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,84.53 %,55,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,348,56,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,79.02 %,56,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,57,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,80.80 %,57,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,58,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.57 %,58,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,347,59,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,76.95 %,59,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,60,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,79.43 %,60,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,61,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.66 %,61,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,62,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,79.08 %,62,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,63,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.86 %,63,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,64,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,81.71 %,64,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,349,65,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.81 %,65,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,66,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.57 %,66,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,351,67,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.76 %,67,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,68,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,83.43 %,68,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,351,69,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.34 %,69,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,70,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,80.29 %,70,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,71,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,75.71 %,71,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,72,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.00 %,72,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,73,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,82.00 %,73,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,107,74,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
1,Votantes :,85.98 %,74,SEGUNDA VUELTA ELECTORAL 22/11/2015,638
0,Total Inscriptos :,350,75,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,83.14 %,75,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,350,76,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,85.14 %,76,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,350,77,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,83.43 %,77,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,350,78,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,85.43 %,78,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,350,79,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,81.43 %,79,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,350,80,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,86.29 %,80,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,349,81,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,86.53 %,81,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,350,82,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,84.00 %,82,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,349,83,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,83.67 %,83,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,351,84,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,84.90 %,84,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
0,Total Inscriptos :,350,85,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
1,Votantes :,86.29 %,85,SEGUNDA VUELTA ELECTORAL 22/11/2015,639
