,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,350,1,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,77.14 %,1,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,2,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,84.86 %,2,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,352,3,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.53 %,3,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,4,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.00 %,4,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,5,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,78.57 %,5,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,6,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.77 %,6,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,7,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.63 %,7,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,8,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,75.71 %,8,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,9,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.43 %,9,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,10,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.57 %,10,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,11,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,78.57 %,11,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,12,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.57 %,12,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,13,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.14 %,13,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,14,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.91 %,14,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,15,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.00 %,15,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,16,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,82.00 %,16,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,17,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,82.29 %,17,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,18,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.48 %,18,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,19,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.57 %,19,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,20,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.57 %,20,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,21,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,83.71 %,21,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,22,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.06 %,22,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,23,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,82.29 %,23,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,24,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,79.14 %,24,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,25,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.43 %,25,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,26,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,82.00 %,26,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,27,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,83.43 %,27,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,28,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,82.00 %,28,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,29,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.29 %,29,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,30,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,84.29 %,30,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,31,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.29 %,31,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,32,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,77.14 %,32,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,33,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.06 %,33,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,34,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,79.43 %,34,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,35,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,83.14 %,35,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,36,ELECCIONES GENERALES 22/10/2017,638
