,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,350,1,ELECCIONES PASO 13/08/2017,638
1,Votantes :,73.71 %,1,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,2,ELECCIONES PASO 13/08/2017,638
1,Votantes :,83.43 %,2,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,352,3,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.27 %,3,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,4,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.14 %,4,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,5,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.86 %,5,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,6,ELECCIONES PASO 13/08/2017,638
1,Votantes :,76.35 %,6,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,7,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.78 %,7,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,8,ELECCIONES PASO 13/08/2017,638
1,Votantes :,73.14 %,8,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,9,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.29 %,9,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,10,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.00 %,10,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,11,ELECCIONES PASO 13/08/2017,638
1,Votantes :,75.71 %,11,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,12,ELECCIONES PASO 13/08/2017,638
1,Votantes :,75.43 %,12,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,13,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.14 %,13,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,14,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.71 %,14,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,15,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.71 %,15,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,16,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.57 %,16,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,17,ELECCIONES PASO 13/08/2017,638
1,Votantes :,81.43 %,17,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,18,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.78 %,18,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,19,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.71 %,19,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,20,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.14 %,20,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,21,ELECCIONES PASO 13/08/2017,638
1,Votantes :,82.00 %,21,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,22,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.63 %,22,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,23,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.29 %,23,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,24,ELECCIONES PASO 13/08/2017,638
1,Votantes :,74.29 %,24,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,25,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.14 %,25,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,26,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.86 %,26,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,27,ELECCIONES PASO 13/08/2017,638
1,Votantes :,82.57 %,27,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,28,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.14 %,28,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,29,ELECCIONES PASO 13/08/2017,638
1,Votantes :,78.86 %,29,ELECCIONES PASO 13/08/2017,638
